Year,Month,Credit REC TX CRS Solar Back Half 2034,Credit REC TX CRS Solar Front Half 2031,Credit REC TX CRS Solar Back Half 2030,Credit REC TX CRS Solar Back Half 2029,Credit REC TX CRS Solar Front Half 2026,Credit REC TX CRS Solar Back Half 2033,Credit REC TX CRS Solar Back Half 2025,Credit REC TX CRS Solar Front Half 2034,Credit REC TX CRS Solar Front Half 2025,Credit REC TX CRS Solar Back Half 2032,Credit REC TX CRS Solar Front Half 2028,Credit REC TX CRS Solar Front Half 2033,Credit REC TX CRS Solar Front Half 2030,Credit REC TX CRS Solar Back Half 2027,Credit REC TX CRS Solar Front Half 2029,Credit REC TX CRS Solar Back Half 2031,Credit REC TX CRS Solar Back Half 2028,Credit REC TX CRS Solar Front Half 2032,Credit REC TX CRS Solar Back Half 2026,Credit REC TX CRS Solar Front Half 2027
2017,1,2.35384591,2.715181505,2.882975744,2.724888271,2.81828053,2.476159979,2.734049635,2.332043131,2.449123334,2.604829916,2.77333605,2.453224251,2.856271836,2.896180975,2.688964077,2.740185992,2.812500269,2.580702366,2.957478975,2.824668302
2017,2,2.36399514,2.726888729,2.895406457,2.736637348,2.830432292,2.486836599,2.745838214,2.342098352,2.459683378,2.616061329,2.785294022,2.463801977,2.868587408,2.908668626,2.700558257,2.752001029,2.824627108,2.591829748,2.970230928,2.836847607
2017,3,2.373199795,2.737506377,2.906680261,2.747292955,2.841453107,2.496519559,2.756529646,2.351217747,2.469260612,2.62624745,2.796139082,2.473395248,2.879756787,2.919994068,2.711073383,2.762716457,2.835625319,2.601921519,2.981796074,2.8478934
2017,4,2.383432474,2.74930986,2.919213182,2.759138635,2.853704784,2.507283964,2.768415153,2.361355645,2.479907483,2.637571211,2.808195376,2.484059946,2.89217362,2.932584395,2.722762894,2.77462864,2.847851868,2.613140392,2.994652878,2.860172847
2017,5,2.393377073,2.760781042,2.931393266,2.770650826,2.865611541,2.51774532,2.779966049,2.371208131,2.490254614,2.648576176,2.81991225,2.494424402,2.904240884,2.944820269,2.734123311,2.786205461,2.859734205,2.624043422,3.007147725,2.872106591
2017,6,2.403696752,2.77268488,2.944032744,2.78259722,2.877967384,2.528601245,2.791952608,2.381432223,2.500992006,2.659996213,2.832071048,2.505179773,2.916763287,2.957517641,2.745912207,2.798218923,2.872064706,2.63535768,3.020113838,2.884490439
2017,7,2.413725902,2.784253591,2.956316384,2.794207289,2.889975374,2.539151545,2.803601712,2.391368477,2.511427109,2.671094744,2.843887541,2.51563235,2.928933149,2.969857545,2.757369212,2.809894172,2.884048068,2.646353408,3.032714918,2.896525646
2017,8,2.42413332,2.796258637,2.969063324,2.806255254,2.902436267,2.550099769,2.815690182,2.401679495,2.522255792,2.682611876,2.856149715,2.526479165,2.94156202,2.982662872,2.769258339,2.822009775,2.896483404,2.657763862,3.045791271,2.909014783
2017,9,2.434585613,2.808315446,2.981865227,2.818355166,2.91495089,2.561095199,2.827830776,2.412034972,2.533131165,2.694178667,2.868464761,2.537372748,2.954245343,2.995523412,2.78119873,2.834177617,2.908972359,2.669223514,3.058924006,2.92155777
2017,10,2.444743643,2.820032822,2.994306719,2.830114431,2.927113189,2.571781076,2.839629577,2.422098912,2.543700366,2.705419819,2.880433102,2.547959646,2.966571594,3.008021892,2.792802963,2.846002899,2.921109714,2.680360544,3.071687017,2.933747636
2017,11,2.455284802,2.83219214,3.007217465,2.842317219,2.939734213,2.582869991,2.851873391,2.432542433,2.554668203,2.717084953,2.892852852,2.558945849,2.979362753,3.020991774,2.804844873,2.858274194,2.933704852,2.691917628,3.084931409,2.946397265
2017,12,2.465529198,2.844009138,3.019764736,2.854176462,2.951999918,2.593646721,2.863772507,2.442691938,2.565327264,2.72842168,2.90492295,2.569622758,2.991793803,3.033596517,2.816547767,2.870200016,2.9459454,2.703149347,3.097802933,2.958690771
2018,1,2.476159979,2.856271836,3.032785251,2.866483,2.964728247,2.604829916,2.87612042,2.453224251,2.576388352,2.740185992,2.917448294,2.580702366,3.004693714,3.046676672,2.828692059,2.882575643,2.958647623,2.714804691,3.11115993,2.97144795
2018,2,2.486836599,2.868587408,3.045861907,2.8788426,2.977511457,2.616061329,2.888521575,2.463801977,2.587497132,2.752001029,2.930027645,2.591829748,3.017649247,3.059813225,2.840888713,2.895004631,2.971404616,2.72651029,3.12457452,2.984260134
2018,3,2.496519559,2.879756787,3.057721537,2.890051909,2.989104952,2.62624745,2.899768571,2.473395248,2.597572033,2.762716457,2.941436252,2.601921519,3.029399025,3.071727176,2.851950242,2.90627687,2.982974332,2.737126464,3.136740631,2.995879906
2018,4,2.507283964,2.89217362,3.070905713,2.902513133,3.001993269,2.637571211,2.91227169,2.484059946,2.608772153,2.77462864,2.954119033,2.613140392,3.042461081,3.084971741,2.86424718,2.918808052,2.995836215,2.74892831,3.150265519,3.008797435
2018,5,2.51774532,2.904240884,3.083718716,2.914623537,3.014518743,2.648576176,2.924422811,2.494424402,2.619656956,2.786205461,2.966444757,2.624043422,3.055155402,3.097843433,2.876197924,2.930986445,3.008336,2.760397899,3.163409642,3.021351299
2018,6,2.528601245,2.916763287,3.097014985,2.927190708,3.027516638,2.659996213,2.937032234,2.505179773,2.630952301,2.798218923,2.979235369,2.63535768,3.068328513,3.111200605,2.888599413,2.943624169,3.021307237,2.772300085,3.17704952,3.034378654
2018,7,2.539151545,2.928933149,3.109936927,2.939404077,3.040148606,2.671094744,2.949286666,2.51563235,2.641929649,2.809894172,2.991665888,2.646353408,3.081130763,3.124181734,2.900651764,2.955906105,3.033913296,2.783867191,3.190305396,3.047039253
2018,8,2.550099769,2.94156202,3.123346243,2.952078095,3.053257011,2.682611876,2.962003296,2.526479165,2.653321028,2.822009775,3.004565248,2.657763862,3.094415874,3.137652471,2.913158692,2.968651276,3.046994816,2.795870571,3.204061242,3.060177369
2018,9,2.561095199,2.954245343,3.136813377,2.964806761,3.066421937,2.694178667,2.974774757,2.537372748,2.664761523,2.834177617,3.017520226,2.669223514,3.107758267,3.15118129,2.925719546,2.981451402,3.060132741,2.807925707,3.2178764,3.073372134
2018,10,2.571781076,2.966571594,3.149901372,2.977177079,3.079216232,2.705419819,2.987186665,2.547959646,2.675879936,2.846002899,3.030110484,2.680360544,3.120725034,3.164329234,2.937926777,2.993891167,3.072900795,2.819641456,3.231302622,3.086195428
2018,11,2.582869991,2.979362753,3.163483006,2.990013966,3.092493088,2.717084953,3.000066711,2.558945849,2.687417701,2.858274194,3.043175608,2.691917628,3.134180866,3.177973077,2.950594426,3.006800121,3.08615042,2.831799087,3.245235238,3.099502376
2018,12,2.593646721,2.991793803,3.176682277,3.002489458,3.105396162,2.72842168,3.012584147,2.569622758,2.698630644,2.870200016,3.05587291,2.703149347,3.147257877,3.191232806,2.962905444,3.019345651,3.09902703,2.843614445,3.258775612,3.112434696
2019,1,2.604829916,3.004693714,3.190379384,3.015435486,3.118785899,2.740185992,3.0255737,2.580702366,2.710266505,2.882575643,3.069049115,2.714804691,3.160828113,3.204992651,2.975680795,3.032364359,3.112389306,2.855875441,3.272826685,3.125854782
2019,2,2.616061329,3.017649247,3.204135549,3.028437334,3.13223337,2.752001029,3.038619262,2.591829748,2.721952536,2.895004631,3.082282133,2.72651029,3.17445686,3.218811825,2.988511231,3.045439201,3.125809196,2.868189304,3.286938344,3.139332732
2019,3,2.62624745,3.029399025,3.216611446,3.040229118,3.144429303,2.762716457,3.050450691,2.601921519,2.732550964,2.90627687,3.094283571,2.737126464,3.186817198,3.231344868,3.000147555,3.057297185,3.137980115,2.879357132,3.299736649,3.151556308
2019,4,2.637571211,3.042461081,3.230480718,3.05333787,3.157987343,2.77462864,3.063603517,2.613140392,2.744333081,2.918808052,3.107625394,2.74892831,3.200558003,3.245277666,3.013083485,3.070479531,3.151510347,2.891772243,3.313964337,3.165145077
2019,5,2.648576176,3.055155402,3.24395953,3.066077574,3.171163684,2.786205461,3.076386053,2.624043422,2.755783497,2.930986445,3.120591606,2.760397899,3.213911966,3.258818217,3.025655231,3.083290756,3.164659664,2.903837832,3.327791475,3.178351283
2019,6,2.659996213,3.068328513,3.25794672,3.079297779,3.184836996,2.798218923,3.089650705,2.63535768,2.767665787,2.943624169,3.134046863,2.772300085,3.227769598,3.272869474,3.038701145,3.09658518,3.178304932,2.916358497,3.342140129,3.192055586
2019,7,2.671094744,3.081130763,3.27154013,3.092145797,3.198125364,2.809894172,3.10254192,2.646353408,2.779213557,2.955906105,3.147123315,2.783867191,3.241237098,3.286525148,3.051379778,3.109505328,3.191566046,2.92852667,3.356084827,3.205374073
2019,8,2.682611876,3.094415874,3.285646242,3.105478402,3.211914928,2.822009775,3.115919351,2.657763862,2.791196872,2.968651276,3.16069297,2.795870571,3.25521255,3.300695871,3.06453661,3.122912783,3.205327328,2.941153788,3.370555475,3.219194892
2019,9,2.694178667,3.107758267,3.299813175,3.118868494,3.225763949,2.834177617,3.129354462,2.669223514,2.803231856,2.981451402,3.174321135,2.807925707,3.26924826,3.314927695,3.077750171,3.136378048,3.219147945,2.953835351,3.385088517,3.233075303
2019,10,2.705419819,3.120725034,3.313581269,3.131881617,3.239223081,2.846002899,3.142411336,2.680360544,2.81492802,2.993891167,3.187565627,2.819641456,3.282888825,3.328758852,3.090591732,3.149464227,3.232579472,2.966159892,3.399212412,3.24656494
2019,11,2.717084953,3.134180866,3.327868651,3.145385553,3.253189849,2.858274194,3.155960674,2.691917628,2.827065328,3.006800121,3.20130966,2.831799087,3.297043869,3.343111677,3.103917636,3.163043976,3.246517594,2.978949275,3.413869016,3.260563364
2019,12,2.72842168,3.147257877,3.341753803,3.158509315,3.266763412,2.870200016,3.169128559,2.703149347,2.838860935,3.019345651,3.214666759,2.843614445,3.310800408,3.357060428,3.116868378,3.176241416,3.260063318,2.991378601,3.428112994,3.274167692
2020,1,2.740185992,3.160828113,3.356162659,3.172128064,3.280848927,2.882575643,3.182793096,2.714804691,2.851101435,3.032364359,3.228527645,2.855875441,3.3250758,3.371535283,3.130307581,3.189936621,3.274119944,3.004276721,3.442894211,3.288285133
2020,2,2.752001029,3.17445686,3.370633643,3.185805534,3.294995175,2.895004631,3.196516551,2.72651029,2.863394714,3.045439201,3.242448297,2.868189304,3.339412745,3.38607255,3.14380473,3.203690877,3.288237178,3.017230456,3.457739161,3.302463445
2020,3,2.763099921,3.187259527,3.384227497,3.198653971,3.308283977,2.906680261,3.209408186,2.737506377,2.874942859,3.057721537,3.255525176,2.879756787,3.352880684,3.399728669,3.156483777,3.216611446,3.301498725,3.029399025,3.471684313,3.315782366
2020,4,2.775013758,3.20100224,3.398819489,3.212445814,3.322548519,2.919213182,3.223246399,2.74930986,2.887338936,3.070905713,3.269562234,2.89217362,3.367337516,3.414387499,3.170093792,3.230480718,3.315734011,3.042461081,3.486653399,3.33007924
2020,5,2.786592186,3.214358056,3.413000675,3.225849377,3.336411473,2.931393266,3.236695026,2.760781042,2.899386028,3.083718716,3.283204109,2.904240884,3.381387347,3.428633641,3.183320646,3.24395953,3.329568532,3.055155402,3.501201062,3.343973615
2020,6,2.798607316,3.228217612,3.427716731,3.239758481,3.350797294,2.944032744,3.250650893,2.77268488,2.911887499,3.097014985,3.297360513,2.916763287,3.395967094,3.443417102,3.197046376,3.25794672,3.343924848,3.068328513,3.516297417,3.358392042
2020,7,2.810284185,3.241686981,3.442018487,3.253276003,3.364778113,2.956316384,3.264213863,2.784253591,2.924037017,3.109936927,3.311118373,2.928933149,3.410136379,3.457784367,3.210385687,3.27154013,3.357876992,3.081130763,3.530968766,3.372404549
2020,8,2.822401469,3.255664373,3.456859661,3.267303363,3.379286245,2.969063324,3.278288385,2.796258637,2.936644776,3.123346243,3.325395136,2.94156202,3.424840084,3.472693519,3.224228114,3.285646242,3.372355368,3.094415874,3.546193473,3.386945564
2020,9,2.834571,3.269702031,3.471764827,3.281391207,3.393856932,2.981865227,3.292423593,2.808315446,2.949306897,3.136813377,3.339733457,2.954245343,3.439607189,3.487666957,3.238130227,3.299813175,3.386896171,3.107758267,3.561483825,3.401549276
2020,10,2.846397924,3.283344489,3.486250369,3.295082437,3.408017412,2.994306719,3.306160854,2.820032822,2.961612543,3.149901372,3.353668114,2.966571594,3.453958557,3.502218849,3.251640956,3.313581269,3.401027608,3.120725034,3.576343709,3.415741852
2020,11,2.858670922,3.297501498,3.50128226,3.309290057,3.422711981,3.007217465,3.320416242,2.83219214,2.97438232,3.163483006,3.368128341,2.979362753,3.468851214,3.517319592,3.265661267,3.327868651,3.415692039,3.134180866,3.591764061,3.430469727
2020,12,2.8705984,3.311259947,3.51589096,3.323097691,3.436992856,3.019764736,3.334270299,2.844009138,2.98679259,3.176682277,3.382181472,2.991793803,3.483324599,3.531995206,3.279286865,3.341753803,3.429943624,3.147257877,3.606750287,3.44478297
2021,1,2.882975744,3.32553732,3.531050655,3.337426107,3.451812361,3.032785251,3.348646888,2.856271836,2.999670937,3.190379384,3.396764643,3.004693714,3.498343875,3.547224338,3.293426378,3.356162659,3.444732733,3.160828113,3.622301745,3.459636064
2021,2,2.895406457,3.339876255,3.546275714,3.351816303,3.466695763,3.045861907,3.363085466,2.868587408,3.012604812,3.204135549,3.411410692,3.017649247,3.513427911,3.562519135,3.307626858,3.370633643,3.45958561,3.17445686,3.637920258,3.474553201
2021,3,2.906680261,3.352880684,3.560083798,3.364867223,3.480193988,3.057721537,3.376180264,2.879756787,3.024334949,3.216611446,3.424693654,3.029399025,3.527108095,3.576390466,3.320505718,3.383757832,3.47305615,3.186817198,3.652085177,3.488082019
2021,4,2.919213182,3.367337516,3.575434042,3.379375738,3.495199765,3.070905713,3.390737559,2.89217362,3.03737517,3.230480718,3.439460127,3.042461081,3.542316155,3.59181102,3.334822957,3.398347799,3.488031151,3.200558003,3.667832109,3.503121808
2021,5,2.931393266,3.381387347,3.590352132,3.393475797,3.509783087,3.083718716,3.404885024,2.904240884,3.050048271,3.24395953,3.453810882,3.055155402,3.557096065,3.606797441,3.348737125,3.412527017,3.502584562,3.213911966,3.683135719,3.517738184
2021,6,2.944032744,3.395967094,3.605832885,3.408107667,3.524916446,3.097014985,3.419566087,2.916763287,3.063199361,3.25794672,3.468702902,3.068328513,3.572433426,3.622349103,3.363176092,3.427241031,3.517686883,3.227769598,3.699016534,3.532905843
2021,7,2.956316384,3.410136379,3.620877811,3.422327607,3.539623757,3.109936927,3.433833836,2.928933149,3.075980211,3.27154013,3.483175668,3.081130763,3.587338996,3.637462941,3.37720856,3.441540802,3.53236403,3.241237098,3.714450258,3.547646489
2021,8,2.969063324,3.424840084,3.636490184,3.437083878,3.554885782,3.123346243,3.448639719,2.94156202,3.089243113,3.285646242,3.498194302,3.094415874,3.602806758,3.653146825,3.391770288,3.456379916,3.547594752,3.25521255,3.730466093,3.562943106
2021,9,2.981865227,3.439607189,3.652169874,3.451903775,3.570213613,3.136813377,3.463509442,2.954245343,3.102563203,3.299813175,3.513277693,3.107758267,3.618341213,3.668898334,3.406394804,3.471283013,3.562891146,3.26924826,3.746550985,3.578305678
2021,10,2.994306719,3.453958557,3.667408136,3.466306449,3.585109921,3.149901372,3.47796054,2.966571594,3.115508293,3.313581269,3.527936443,3.120725034,3.633438328,3.684206394,3.420607597,3.485766545,3.577756902,3.282888825,3.762183041,3.59323575
2021,11,3.007217465,3.468851214,3.683221137,3.481252347,3.600568071,3.163483006,3.492956687,2.979362753,3.128941632,3.327868651,3.543148074,3.134180866,3.649104859,3.700091825,3.435356452,3.50079635,3.593183348,3.297043869,3.778404689,3.608728937
2021,12,3.019764736,3.483324599,3.698588956,3.495777474,3.61559103,3.176682277,3.50753065,2.991793803,3.141996783,3.341753803,3.557931455,3.147257877,3.664330333,3.715530035,3.449690084,3.515403023,3.608175495,3.310800408,3.794169651,3.623785946
2022,1,3.032785251,3.498343875,3.714536401,3.510850444,3.631180608,3.190379384,3.522654297,3.004693714,3.155544334,3.356162659,3.573272418,3.160828113,3.680130063,3.731550526,3.464564336,3.530560614,3.623733099,3.3250758,3.810529218,3.639410858
2022,2,3.045861907,3.513427911,3.730552608,3.525988405,3.646837404,3.204135549,3.537843153,3.017649247,3.169150299,3.370633643,3.588679528,3.17445686,3.695997918,3.747640094,3.479502722,3.54578356,3.639357783,3.339412745,3.826959323,3.655103142
2022,3,3.057721537,3.527108095,3.745078208,3.539717497,3.661037044,3.216611446,3.551618403,3.029399025,3.181489975,3.383757832,3.602652719,3.186817198,3.710388973,3.762232227,3.493050813,3.559589728,3.653528299,3.352415369,3.841860301,3.669334965
2022,4,3.070905713,3.542316155,3.761226104,3.554979925,3.676822574,3.230480718,3.566932146,3.042461081,3.195207811,3.398347799,3.61818651,3.200558003,3.726387297,3.778454087,3.508112026,3.574937841,3.669281454,3.366870195,3.858425498,3.685156274
2022,5,3.083718716,3.557096065,3.77691939,3.569812673,3.692163696,3.24395953,3.581814763,3.055155402,3.20853945,3.412527017,3.633282979,3.213911966,3.741935222,3.794219255,3.522749223,3.589853861,3.684591111,3.380918077,3.874524338,3.700532168
2022,6,3.097014985,3.572433426,3.793204578,3.585204865,3.708083437,3.25794672,3.597258705,3.068328513,3.222373918,3.427241031,3.648948841,3.227769598,3.758069566,3.810579036,3.537938488,3.605332466,3.700478201,3.3954958,3.891230375,3.716487992
2022,7,3.109936927,3.587338996,3.809031291,3.600163723,3.723554992,3.27154013,3.612267856,3.081130763,3.235818905,3.441540802,3.664173663,3.241237098,3.773749682,3.826478242,3.552700133,3.620375304,3.715918024,3.409663118,3.907466089,3.731994613
2022,8,3.123346243,3.602806758,3.825454937,3.615686782,3.739610085,3.285646242,3.627843105,3.094415874,3.249770994,3.456379916,3.679972718,3.25521255,3.790021203,3.842977116,3.56801854,3.63598551,3.731940188,3.424364783,3.924314163,3.748086096
2022,9,3.136813377,3.618341213,3.841949399,3.631276772,3.755734403,3.299813175,3.643485511,3.107758267,3.263783242,3.471283013,3.695839894,3.26924826,3.806362882,3.859547129,3.583402996,3.651663024,3.748031436,3.439129838,3.941234883,3.764246961
2022,10,3.149901372,3.633438328,3.857979494,3.64642786,3.771404776,3.313581269,3.658687538,3.120725034,3.277401005,3.485766545,3.711260364,3.282888825,3.822244497,3.875650648,3.598354336,3.666899171,3.763669669,3.453479215,3.957679235,3.779952851
2022,11,3.163483006,3.649104859,3.874614194,3.662150399,3.787666186,3.327868651,3.674462938,3.134180866,3.291532387,3.50079635,3.727262445,3.297043869,3.838725115,3.892361542,3.613869593,3.682709977,3.779897727,3.468369804,3.974743817,3.796251119
2022,12,3.176682277,3.664330333,3.890780579,3.677430303,3.803469791,3.341753803,3.689794215,3.147257877,3.30526593,3.515403023,3.742814022,3.310800408,3.854741757,3.908601976,3.628948051,3.698075664,3.795668918,3.482841181,3.991327981,3.812090543
2023,1,3.190379384,3.680130063,3.907556709,3.693286517,3.819869457,3.356162659,3.705703739,3.160828113,3.319517459,3.530560614,3.758952155,3.3250758,3.871362497,3.925454948,3.644595221,3.714020896,3.812034949,3.497858373,4.008537648,3.82852738
2023,2,3.204135549,3.695997918,3.924405174,3.7092111,3.836339836,3.370633643,3.721681862,3.17445686,3.333830437,3.54578356,3.775159872,3.339412745,3.888054901,3.942380586,3.660309858,3.73003488,3.828471547,3.512940315,4.025821519,3.845035089
2023,3,3.216611446,3.710388973,3.939685575,3.723653602,3.851277338,3.383757832,3.736172922,3.186817198,3.346811325,3.559589728,3.789859159,3.352415369,3.903193766,3.957730977,3.674561955,3.744558464,3.843378413,3.526618601,4.041496804,3.860006448
2023,4,3.230480718,3.726387297,3.956672572,3.739709121,3.86788314,3.398347799,3.75228242,3.200558003,3.361241988,3.574937841,3.80620014,3.366870195,3.920023419,3.974795782,3.690405801,3.760704119,3.859950156,3.541824551,4.058922787,3.876649888
2023,5,3.24395953,3.741935222,3.973181337,3.75531263,3.88402144,3.412527017,3.76793839,3.213911966,3.375266386,3.589853861,3.822081075,3.380918077,3.936379268,3.991380163,3.705803598,3.776395227,3.876055357,3.556602409,4.075858179,3.892824767
2023,6,3.25794672,3.758069566,3.99031276,3.771504654,3.900768427,3.427241031,3.784184854,3.227769598,3.389819741,3.605332466,3.83856099,3.3954958,3.95335201,4.008590055,3.721782151,3.792678155,3.892767996,3.571937642,4.09343232,3.909609711
2023,7,3.27154013,3.773749682,4.006961884,3.787240826,3.917043937,3.441540802,3.799973933,3.241237098,3.403963376,3.620375304,3.854576947,3.409663118,3.969846919,4.025315439,3.737310862,3.808502671,3.909010125,3.586841144,4.110511699,3.925922111
2023,8,3.285646242,3.790021203,4.024238961,3.803570518,3.933933309,3.456379916,3.816358526,3.25521255,3.418640466,3.63598551,3.871196975,3.424364783,3.986963965,4.042671652,3.753425267,3.824924039,3.925864857,3.602306759,4.128235258,3.942849763
2023,9,3.299813175,3.806362882,4.041590532,3.819970619,3.950895504,3.471283013,3.832813766,3.26924826,3.433380839,3.651663024,3.887888666,3.439129838,4.004154815,4.060102701,3.769609153,3.841416211,3.942792263,3.617839058,4.146035237,3.959850404
2023,10,3.313581269,3.822244497,4.058453607,3.83590901,3.967380164,3.485766545,3.848805744,3.282888825,3.447706228,3.666899171,3.904110437,3.453479215,4.020861694,4.077043016,3.785337417,3.857444081,3.959243113,3.632934078,4.163334095,3.976372427
2023,11,3.327868651,3.838725115,4.075952704,3.852448547,3.984486573,3.50079635,3.865400888,3.297043869,3.462571926,3.682709977,3.920944043,3.468369804,4.038198703,4.094622266,3.801658901,3.874076473,3.976314438,3.648598435,4.181285412,3.993517609
2023,12,3.341753803,3.854741757,4.092959151,3.868522448,4.001111388,3.515403023,3.881528832,3.310800408,3.477019112,3.698075664,3.937303734,3.482841181,4.055047626,4.11170661,3.817520889,3.890240614,3.992905155,3.663821795,4.198731348,4.010180105
2024,1,3.356162659,3.871362497,4.110607028,3.885202607,4.018363239,3.530560614,3.898265071,3.3250758,3.4920112,3.714020896,3.954280461,3.497858373,4.072532037,4.129435321,3.83398114,3.907014416,4.010121623,3.679619332,4.216835289,4.027471058
2024,2,3.370633643,3.888054901,4.128330998,3.901954686,4.035689476,3.54578356,3.915073473,3.339412745,3.507067931,3.73003488,3.971330388,3.512940315,4.090091837,4.147240474,3.850512365,3.923860543,4.027412324,3.695484985,4.235017291,4.044836566
2024,3,3.384227497,3.903735528,4.144980665,3.917691371,4.051965517,3.560083798,3.930863066,3.352880684,3.521212027,3.745078208,3.987346867,3.527108095,4.106587285,4.163966404,3.866041582,3.939685575,4.043654983,3.710388973,4.252097226,4.061149497
